inflation,inflation_no_f_e,unemployment,total_ui_claims,q_output,industry,jo,u,w,year,month,after_covid,jo_log,u_log,w_log,inflation_log,inflation_fe_log,ui_claims_log,unemployment_log
231.679,232.229,12471,1412000,,1,3467,107585,24,2013,1,0,8.1510448,11.586037,3.1780539,5.445353,5.4477239,14.160518,9.4311609
232.937,232.569,11950,1412000,,1,3584,107585,24,2013,2,0,8.1842346,11.586037,3.1780539,5.450768,5.4491868,14.160518,9.3884869
232.282,232.79401,11689,1759000,,1,3681,107585,24,2013,3,0,8.2109394,11.586037,3.1780539,5.4479523,5.4501538,14.380256,9.3664036
231.797,232.832,11760,1389000,,1,3566,107585,24,2013,4,0,8.1792002,11.586037,3.1780539,5.4458618,5.4503174,14.144094,9.3724594
231.89301,232.996,11654,1391000,,1,3736,107585,24,2013,5,0,8.225771,11.586037,3.1780539,5.4462762,5.4510212,14.145534,9.3634043
232.44501,233.35001,11751,1723000,,1,3749,107585,24,2013,6,0,8.2292442,11.586037,3.1780539,5.4486537,5.4525394,14.359577,9.3716936
232.89999,233.88,11335,1384000,,1,3509,107585,24,2013,7,0,8.1630859,11.586037,3.1780539,5.4506092,5.4548082,14.140489,9.3356504
233.45599,234.336,11279,1667000,,1,3692,107585,24,2013,8,0,8.2139235,11.586037,3.1780539,5.4529934,5.4567561,14.326536,9.330698
233.54401,234.7,11270,1256000,,1,3732,107585,24,2013,9,0,8.2247,11.586037,3.1780539,5.4533706,5.4583082,14.043443,9.3298998
233.66901,234.92101,11136,1434000,,1,3827,107585,24,2013,10,0,8.2498369,11.586037,3.1780539,5.4539056,5.4592495,14.175979,9.3179388
234.10001,235.35899,10787,1641000,,1,3714,107585,24,2013,11,0,8.2198648,11.586037,3.1780539,5.4557486,5.461112,14.310817,9.2860966
234.71899,235.759,10404,1384000,,1,3775,107585,24,2013,12,0,8.2361555,11.586037,3.1780539,5.4583888,5.46281,14.140489,9.2499456
235.28799,235.961,10202,1307000,,1,3738,110028,24,2014,1,0,8.226306,11.60849,3.1780539,5.4608102,5.4636664,14.083245,9.2303391
235.547,236.185,10349,1341000,,1,3971,110028,24,2014,2,0,8.2867737,11.60849,3.1780539,5.4619102,5.4646153,14.108926,9.2446451
236.028,236.625,10380,1605000,,1,3962,110028,24,2014,3,0,8.2845039,11.60849,3.1780539,5.4639506,5.4664764,14.288634,9.2476358
236.468,237.07201,9702,1291000,,1,4131,110028,24,2014,4,0,8.3262749,11.60849,3.1780539,5.4658127,5.4683638,14.070928,9.1800871
236.918,237.52901,9859,1569000,,1,4307,110028,24,2014,5,0,8.3679972,11.60849,3.1780539,5.4677143,5.4702897,14.265949,9.1961403
237.231,237.83701,9460,1254000,,1,4468,110028,24,2014,6,0,8.4046965,11.60849,3.1780539,5.4690342,5.4715858,14.041849,9.1548281
237.498,238.19501,9608,1207000,,1,4371,110028,24,2014,7,0,8.3827467,11.60849,3.1780539,5.4701591,5.4730897,14.003649,9.170351
237.46001,238.405,9599,1510000,,1,4911,110028,25,2014,8,0,8.4992332,11.60849,3.2188759,5.4699993,5.4739709,14.22762,9.1694145
237.47701,238.786,9262,1180000,,1,4446,110028,25,2014,9,0,8.3997602,11.60849,3.2188759,5.4700708,5.4755678,13.981025,9.1336756
237.42999,239.19099,8990,1155000,,1,4577,110028,25,2014,10,0,8.4287987,11.60849,3.2188759,5.469873,5.4772625,13.959611,9.1038685
236.983,239.45799,9090,1458000,,1,4372,110028,25,2014,11,0,8.3829756,11.60849,3.2188759,5.4679885,5.4783778,14.192576,9.1149302
236.252,239.584,8717,1138000,,1,4626,110028,25,2014,12,0,8.4394474,11.60849,3.2188759,5.4648991,5.4789042,13.944783,9.0730305
234.74699,239.811,8885,1438000,,1,4818,111882,25,2015,1,0,8.480114,11.6252,3.2188759,5.4585085,5.4798512,14.178763,9.0921202
235.342,240.172,8599,1205000,,1,4950,111882,25,2015,2,0,8.507143,11.6252,3.2188759,5.4610395,5.4813552,14.00199,9.0594015
235.976,240.755,8515,1136000,,1,4709,111882,25,2015,3,0,8.4572306,11.6252,3.2188759,5.4637299,5.4837799,13.943024,9.0495844
236.222,241.34599,8550,1144000,,1,5077,111882,25,2015,4,0,8.5324755,11.6252,3.2188759,5.4647722,5.4862313,13.950042,9.0536861
237.00101,241.688,8834,1370000,,1,5040,111882,25,2015,5,0,8.5251617,11.6252,3.2188759,5.4680643,5.4876475,14.130322,9.0863628
237.657,242.064,8247,1095000,,1,4778,111882,25,2015,6,0,8.471777,11.6252,3.2188759,5.4708285,5.489202,13.906265,9.0176048
238.034,242.565,8167,1111000,,1,5507,111882,25,2015,7,0,8.6137753,11.6252,3.2188759,5.4724135,5.4912696,13.920771,9.0078573
238.033,242.817,7992,1376000,,1,4973,111882,25,2015,8,0,8.5117788,11.6252,3.2188759,5.4724092,5.4923081,14.134691,8.9861965
237.498,243.31599,7907,1078000,,1,5018,111882,25,2015,9,0,8.5207863,11.6252,3.2188759,5.4701591,5.4943609,13.890618,8.9755039
237.733,243.76801,7922,1335000,,1,5246,111882,25,2015,10,0,8.5652208,11.6252,3.2188759,5.471148,5.4962168,14.104442,8.9773989
238.017,244.241,8000,1074000,,1,5185,111882,25,2015,11,0,8.553525,11.6252,3.2188759,5.472342,5.4981556,13.886901,8.9871969
237.761,244.547,7907,1084000,,1,5304,111882,25,2015,12,0,8.5762167,11.6252,3.2188759,5.4712658,5.4994073,13.896169,8.9755039
237.65199,244.955,7627,1398000,,1,5497,114102,25,2016,1,0,8.6119576,11.644848,3.2188759,5.4708076,5.5010743,14.150553,8.9394503
237.336,245.50999,7702,1067000,,1,5282,114102,25,2016,2,0,8.5720596,11.644848,3.2188759,5.4694767,5.5033379,13.880362,8.949235
238.08,245.91299,7961,1053000,,1,5633,114102,25,2016,3,0,8.6363974,11.644848,3.2188759,5.4726067,5.5049777,13.867154,8.9823103
238.992,246.55099,8067,1330000,,1,5301,114102,26,2016,4,0,8.5756512,11.644848,3.2580965,5.4764299,5.5075688,14.10069,8.9955368
239.55701,247.13699,7652,1098000,,1,5239,114102,26,2016,5,0,8.5638857,11.644848,3.2580965,5.4787912,5.509943,13.909001,8.9427223
240.222,247.53999,7744,1061000,,1,5262,114102,26,2016,6,0,8.5682669,11.644848,3.2580965,5.4815636,5.5115724,13.874722,8.9546738
240.101,247.82899,7641,1297000,,1,5375,114102,26,2016,7,0,8.5895138,11.644848,3.2580965,5.4810596,5.5127392,14.075564,8.9412842
240.545,248.423,7784,1054000,,1,5166,114102,26,2016,8,0,8.5498543,11.644848,3.2580965,5.4829073,5.5151329,13.868103,8.9598255
241.17599,248.842,7953,1006000,,1,5340,114102,26,2016,9,0,8.5829811,11.644848,3.2580965,5.485527,5.516818,13.821492,8.9813042
241.741,249.142,7811,1279000,,1,5107,114102,26,2016,10,0,8.5383673,11.644848,3.2580965,5.4878669,5.518023,14.061589,8.9632883
242.026,249.481,7553,983000,,1,5394,114102,26,2016,11,0,8.5930424,11.644848,3.2580965,5.4890451,5.519383,13.798365,8.9296999
242.63699,249.92,7521,1261000,,1,5404,114102,26,2016,12,0,8.5948944,11.644848,3.2580965,5.4915667,5.5211411,14.047416,8.9254541
243.618,250.467,7468,976000,,1,5120,115598,26,2017,1,0,8.5409098,11.657874,3.2580965,5.4956012,5.5233274,13.791218,8.9183826
244.006,250.998,7379,921000,,1,5418,115598,26,2017,2,0,8.5974817,11.657874,3.2580965,5.4971929,5.525445,13.733215,8.9063931
243.892,250.944,7073,935000,,1,5305,115598,26,2017,3,0,8.5764055,11.657874,3.2580965,5.4967256,5.5252299,13.748302,8.8640404
244.19299,251.22701,7089,1139000,,1,5547,115598,26,2017,4,0,8.6210127,11.657874,3.2580965,5.4979587,5.5263567,13.945662,8.8662996
244.004,251.42999,7000,956000,,1,5275,115598,26,2017,5,0,8.570734,11.657874,3.2580965,5.4971848,5.5271645,13.770514,8.8536654
244.16299,251.746,6873,992000,,1,5731,115598,26,2017,6,0,8.6536455,11.657874,3.2580965,5.4978361,5.5284204,13.807478,8.8353558
244.243,251.985,6892,1254000,,1,5690,115598,26,2017,7,0,8.6464653,11.657874,3.2580965,5.4981637,5.5293694,14.041849,8.8381166
245.183,252.535,7082,991000,,1,5774,115598,26,2017,8,0,8.6611204,11.657874,3.2580965,5.5020051,5.5315499,13.80647,8.8653116
